FECHA,VV
2017-10-02,15230.65
2017-10-03,5867.49
2017-10-04,18502.56
2017-10-05,6937.96
2017-10-06,9636.81
2017-10-07,5341.97
2017-10-08,75.97
2017-10-09,7161.57
2017-10-10,16935.79
2017-10-11,4242.88
2017-10-12,11821.94
2017-10-13,9097.8
2017-10-14,4214.48
2017-10-16,5874.75
2017-10-17,6373.4
2017-10-18,5393.26
2017-10-19,12063.59
2017-10-20,10830.15
2017-10-21,4948.92
2017-10-23,14094.65
2017-10-24,11853.46
2017-10-25,18115.59
2017-10-26,15375.64
2017-10-27,16093.25
2017-10-28,9561.19
2017-10-30,11668.03
2017-10-31,22906.46
2017-11-01,841.79
2017-11-02,18476.53
2017-11-03,7032.36
2017-11-04,5185.96
2017-11-05,120.13
2017-11-06,15053.23
2017-11-07,6543.62
2017-11-08,23503.01
2017-11-09,9884.19
2017-11-10,13669.94
2017-11-11,3269.45
2017-11-13,11993.56
2017-11-14,13852.13
2017-11-15,22047.94
2017-11-16,9028.86
2017-11-17,16738.85
2017-11-18,4993.55
2017-11-20,10559.66
2017-11-21,12235.92
2017-11-22,25814.18
2017-11-23,9315.81
2017-11-24,27527.16
2017-11-25,2193.17
2017-11-27,19679.25
2017-11-28,17155.13
2017-11-29,16886.08
2017-11-30,14342.87
2017-12-01,7890.84
2017-12-02,2304.71
2017-12-04,7137.7
2017-12-05,9645.98
2017-12-06,25529.7
2017-12-07,24227.67
2017-12-08,1870.95
2017-12-09,6126.03
2017-12-11,10638.76
2017-12-12,12681.89
2017-12-13,14441.99
2017-12-14,13809.0
2017-12-15,12707.22
2017-12-16,17892.33
2017-12-18,8827.85
2017-12-19,21024.17
2017-12-20,11486.39
2017-12-21,17046.81
2017-12-22,31938.4
2017-12-23,15437.75
2017-12-26,6105.65
2017-12-27,10507.26
2017-12-28,11116.72
2017-12-29,7973.87
2017-12-30,1840.13
2018-01-02,2015.38
2018-01-03,4992.91
2018-01-04,4907.29
2018-01-05,8901.84
2018-01-06,2277.03
2018-01-08,10798.77
2018-01-09,12893.18
2018-01-10,13026.2
2018-01-11,7114.91
2018-01-12,13962.04
2018-01-13,6203.99
2018-01-15,14294.35
2018-01-16,8439.68
2018-01-17,14888.44
2018-01-18,14744.77
2018-01-19,12960.03
2018-01-20,9774.32
2018-01-22,8389.2
2018-01-23,18047.07
2018-01-24,11991.58
2018-01-25,10247.46
2018-01-26,12902.34
2018-01-27,10943.76
2018-01-29,11134.01
2018-01-30,15230.39
2018-01-31,17653.34
2018-02-01,25088.92
2018-02-02,20737.1
2018-02-03,10640.49
2018-02-04,32.31
2018-02-05,14301.12
2018-02-06,11926.6
2018-02-07,16107.78
2018-02-08,8945.92
2018-02-09,22779.74
2018-02-10,1885.47
2018-02-12,11472.6
2018-02-13,11206.95
2018-02-14,9921.23
2018-02-15,10629.65
2018-02-16,15578.02
2018-02-17,3729.8
2018-02-19,7344.3
2018-02-20,11133.38
2018-02-21,10432.2
2018-02-22,14248.69
2018-02-23,15106.26
2018-02-24,5748.48
2018-02-26,12569.22
2018-02-27,11232.46
2018-02-28,23933.67
2018-03-01,15086.12
2018-03-02,11942.23
2018-03-03,4853.61
2018-03-05,12401.7
2018-03-06,10285.57
2018-03-07,8944.13
2018-03-08,11509.6
2018-03-09,11470.15
2018-03-10,5011.44
2018-03-12,12090.26
2018-03-13,10972.0
2018-03-14,7043.51
2018-03-15,12277.9
2018-03-16,13908.07
2018-03-17,9098.91
2018-03-19,12686.25
2018-03-20,6574.03
2018-03-21,11054.35
2018-03-22,9966.69
2018-03-23,18098.28
2018-03-24,9438.42
2018-03-26,15396.14
2018-03-27,16532.13
2018-03-28,18999.13
2018-03-29,3591.4
2018-03-30,6.68
2018-03-31,5905.54
2018-04-02,12738.78
2018-04-03,18505.31
2018-04-04,18660.92
2018-04-05,9694.46
2018-04-06,12274.2
2018-04-07,9669.84
2018-04-09,5320.35
2018-04-10,7774.33
2018-04-11,22312.54
2018-04-12,6691.59
2018-04-13,16956.06
2018-04-14,3710.62
2018-04-16,11798.03
2018-04-17,13610.29
2018-04-18,14086.07
2018-04-19,12087.81
2018-04-20,12422.16
2018-04-21,3850.28
2018-04-22,246.21
2018-04-23,14845.6
2018-04-24,12089.54
2018-04-25,20700.24
2018-04-26,12063.2
2018-04-27,18881.37
2018-04-28,4053.44
2018-04-29,207.25
2018-04-30,20065.94
2018-05-02,17749.59
2018-05-03,18719.83
2018-05-04,14318.26
2018-05-05,7360.53
2018-05-06,90.28
2018-05-07,8685.1
2018-05-08,20330.19
2018-05-09,13628.71
2018-05-10,13044.76
2018-05-11,7635.83
2018-05-12,4641.85
2018-05-14,7143.56
2018-05-15,14708.83
2018-05-16,14983.04
2018-05-17,12500.1
2018-05-18,9591.61
2018-05-19,5457.33
2018-05-20,562.93
2018-05-21,19230.5
2018-05-22,7904.81
2018-05-23,17938.62
2018-05-24,12269.31
2018-05-25,22382.35
2018-05-26,8397.45
2018-05-27,117.55
2018-05-28,10672.44
2018-05-29,28295.19
2018-05-30,16424.88
2018-05-31,24684.66
2018-06-01,7487.08
2018-06-02,3371.2
2018-06-03,605.15
2018-06-04,10207.18
2018-06-05,16246.05
2018-06-06,12663.99
2018-06-07,11965.86
2018-06-08,14536.36
2018-06-09,9052.95
2018-06-10,143.48
2018-06-11,12382.36
2018-06-12,13545.23
2018-06-13,12348.49
2018-06-14,24181.56
2018-06-15,18604.21
2018-06-16,2541.31
2018-06-18,7376.31
2018-06-19,7474.42
2018-06-20,8701.91
2018-06-21,9959.63
2018-06-22,13876.76
2018-06-23,9213.6
2018-06-25,7934.29
2018-06-26,11105.25
2018-06-27,15074.05
2018-06-28,29810.78
2018-06-29,1222.06
2018-06-30,10675.68
2018-07-02,9131.29
2018-07-03,7140.19
2018-07-04,16117.75
2018-07-05,7459.54
2018-07-06,5484.75
2018-07-07,5857.79
2018-07-09,4105.54
2018-07-10,15287.11
2018-07-11,6897.04
2018-07-12,13578.09
2018-07-13,12626.89
2018-07-14,1721.05
2018-07-16,11504.22
2018-07-17,12112.82
2018-07-18,18810.74
2018-07-19,13562.78
2018-07-20,5435.04
2018-07-21,5669.83
2018-07-23,12075.93
2018-07-24,11686.76
2018-07-25,9191.6
2018-07-26,16712.87
2018-07-27,8519.0
2018-07-30,6168.07
2018-07-31,18907.16
2018-08-01,12732.87
2018-08-02,7044.04
2018-08-03,12635.99
2018-08-04,4418.73
2018-08-06,8573.03
2018-08-07,7397.53
2018-08-08,11535.84
2018-08-09,11668.1
2018-08-10,13996.0
2018-08-11,4679.09
2018-08-13,10875.84
2018-08-14,10171.38
2018-08-15,14643.23
2018-08-16,14500.39
2018-08-17,10353.06
2018-08-18,4305.2
2018-08-20,7732.57
2018-08-21,9158.8
2018-08-22,8702.08
2018-08-23,10684.45
2018-08-24,31614.44
2018-08-25,4763.85
2018-08-27,6978.04
2018-08-28,7485.46
2018-08-29,20045.18
2018-08-30,1282.73
2018-08-31,10247.5
2018-09-01,443.71
2018-09-03,12434.74
2018-09-04,7984.49
2018-09-05,4627.06
2018-09-06,8738.03
2018-09-07,10875.65
2018-09-08,2665.82
2018-09-10,8345.72
2018-09-11,6065.68
2018-09-12,18118.58
2018-09-13,8680.39
2018-09-14,4883.22
2018-09-15,3433.92
2018-09-17,23590.54
2018-09-18,11288.79
2018-09-19,8214.85
2018-09-20,10752.24
2018-09-21,19773.94
2018-09-22,7588.07
2018-09-24,8956.09
2018-09-25,9992.34
2018-09-26,12794.3
2018-09-27,25995.81
2018-09-28,20275.56
2018-09-29,18933.09
2018-10-01,6279.05
2018-10-02,10602.95
2018-10-03,12958.97
2018-10-04,7770.62
2018-10-05,10237.56
2018-10-06,4301.31
2018-10-08,83.78
2018-10-09,8814.89
2018-10-10,5412.26
2018-10-11,15097.97
2018-10-12,11327.04
2018-10-13,2185.0
2018-10-15,16098.99
2018-10-16,6552.61
2018-10-17,8308.4
2018-10-18,15300.32
2018-10-19,12483.88
2018-10-20,5220.16
2018-10-22,11180.1
2018-10-23,12842.0
2018-10-24,17001.99
2018-10-25,13923.43
2018-10-26,18599.6
2018-10-27,7117.93
2018-10-29,17170.54
2018-10-30,14194.41
2018-10-31,32160.63
2018-11-01,2701.01
2018-11-02,13996.38
2018-11-03,6937.7
2018-11-05,7438.86
2018-11-06,17864.89
2018-11-07,19366.43
2018-11-08,17397.67
2018-11-09,15155.17
2018-11-10,10329.18
2018-11-12,15164.74
2018-11-13,8828.9
2018-11-14,17419.46
2018-11-15,16780.89
2018-11-16,12127.28
2018-11-17,7884.07
2018-11-19,17538.39
2018-11-20,13828.39
2018-11-21,8046.36
2018-11-22,13441.6
2018-11-23,16924.11
2018-11-24,8974.85
2018-11-26,8935.24
2018-11-27,17681.83
2018-11-28,11636.24
2018-11-29,29002.71
2018-11-30,27429.12
2018-12-01,1837.63
2018-12-03,9762.99
2018-12-04,14527.18
2018-12-05,19083.08
2018-12-06,13959.39
2018-12-07,6970.47
2018-12-08,1274.97
2018-12-10,26379.39
2018-12-11,7997.18
2018-12-12,9799.36
2018-12-13,6433.51
2018-12-14,17229.12
2018-12-15,8488.06
2018-12-17,7095.25
2018-12-18,20035.88
2018-12-19,16043.64
2018-12-20,13145.07
2018-12-21,20010.64
2018-12-22,12043.95
2018-12-26,7123.61
2018-12-27,16457.5
2018-12-28,15868.86
2018-12-29,6704.96
2018-12-31,5682.49
2019-01-02,8959.93
2019-01-03,7840.06
2019-01-04,6542.96
2019-01-05,2378.12
2019-01-07,10883.07
2019-01-08,11151.19
2019-01-09,21736.34
2019-01-10,16511.41
2019-01-11,12108.93
2019-01-12,13584.33
2019-01-14,10342.77
2019-01-15,9148.89
2019-01-16,12628.22
2019-01-17,13978.97
2019-01-18,14821.61
2019-01-19,4296.27
2019-01-20,1322.89
2019-01-21,10717.05
2019-01-22,13195.41
2019-01-23,9581.21
2019-01-24,14963.51
2019-01-25,9858.86
2019-01-26,4511.73
2019-01-28,10372.32
2019-01-29,8533.5
2019-01-30,16096.44
2019-01-31,10797.58
2019-02-01,11162.08
2019-02-02,3425.56
2019-02-04,3495.45
2019-02-05,8751.98
2019-02-06,8553.08
2019-02-07,8756.83
2019-02-08,15595.83
2019-02-09,3060.05
2019-02-11,10494.49
2019-02-12,14482.34
2019-02-13,6006.85
2019-02-14,7401.28
2019-02-15,12220.43
2019-02-16,6318.13
2019-02-17,34.3
2019-02-18,14158.32
2019-02-19,11190.97
2019-02-20,9342.82
2019-02-21,6126.81
2019-02-22,7815.4
2019-02-23,10433.89
2019-02-25,6763.48
2019-02-26,14168.95
2019-02-27,6940.53
2019-02-28,9017.21
2019-03-01,6974.54
2019-03-02,3521.23
2019-03-04,7429.86
2019-03-05,15053.69
2019-03-06,7192.15
2019-03-07,7513.5
2019-03-08,5406.17
2019-03-09,3348.86
2019-03-11,6279.57
2019-03-12,28983.92
2019-03-13,7997.86
2019-03-14,7188.45
2019-03-15,12445.02
2019-03-16,3013.89
2019-03-18,9098.91
2019-03-19,13710.73
2019-03-20,5640.18
2019-03-21,18300.81
2019-03-22,11085.58
2019-03-23,6134.12
2019-03-24,423.49
2019-03-25,10836.66
2019-03-26,13399.49
2019-03-27,12908.3
2019-03-28,11653.43
2019-03-29,9480.71
2019-03-30,3361.56
2019-04-01,9704.88
2019-04-02,14631.57
2019-04-03,10628.09
2019-04-04,11135.09
2019-04-05,6922.66
2019-04-06,9380.99
2019-04-08,9475.33
2019-04-09,6761.08
2019-04-10,37219.72
2019-04-11,7636.65
2019-04-12,7118.11
2019-04-13,4685.51
2019-04-14,1173.18
2019-04-15,12635.12
2019-04-16,13033.69
2019-04-17,26239.28
2019-04-18,4626.31
2019-04-20,979.56
2019-04-21,0.0
2019-04-22,6851.69
2019-04-23,10742.62
2019-04-24,18696.89
2019-04-25,22523.03
2019-04-26,15463.97
2019-04-27,12588.92
2019-04-28,927.94
2019-04-29,23318.75
2019-04-30,25866.18
2019-05-02,9264.63
2019-05-03,16902.8
2019-05-04,4069.27
2019-05-05,1368.66
2019-05-06,14949.57
2019-05-07,8507.23
2019-05-08,17984.04
2019-05-09,18138.03
2019-05-10,14782.96
2019-05-11,6396.41
2019-05-13,10043.03
2019-05-14,18676.2
2019-05-15,9927.37
2019-05-16,17716.84
2019-05-17,14228.86
2019-05-18,5508.96
2019-05-19,104.3
2019-05-20,12005.05
2019-05-21,14766.6
2019-05-22,13598.26
2019-05-23,8560.54
