var1(t-7),var1(t-6),var1(t-5),var1(t-4),var1(t-3),var1(t-2),var1(t-1),var1(t)
-0.6885428,-0.7347233,-0.60702074,-0.881179,-0.59515095,-0.71553934,-0.29093844,-0.5631945
-0.7347233,-0.60702074,-0.881179,-0.59515095,-0.71553934,-0.29093844,-0.5631945,-0.7007967
-0.60702074,-0.881179,-0.59515095,-0.71553934,-0.29093844,-0.5631945,-0.7007967,-0.918361
-0.881179,-0.59515095,-0.71553934,-0.29093844,-0.5631945,-0.7007967,-0.918361,-0.647626
-0.59515095,-0.71553934,-0.29093844,-0.5631945,-0.7007967,-0.918361,-0.647626,-0.2574699
-0.71553934,-0.29093844,-0.5631945,-0.7007967,-0.918361,-0.647626,-0.2574699,-0.8255786
-0.29093844,-0.5631945,-0.7007967,-0.918361,-0.647626,-0.2574699,-0.8255786,-0.69010866
-0.5631945,-0.7007967,-0.918361,-0.647626,-0.2574699,-0.8255786,-0.69010866,-0.7060009
-0.7007967,-0.918361,-0.647626,-0.2574699,-0.8255786,-0.69010866,-0.7060009,-0.8077662
-0.918361,-0.647626,-0.2574699,-0.8255786,-0.69010866,-0.7060009,-0.8077662,-0.6594536
-0.647626,-0.2574699,-0.8255786,-0.69010866,-0.7060009,-0.8077662,-0.6594536,-0.5572325
-0.2574699,-0.8255786,-0.69010866,-0.7060009,-0.8077662,-0.6594536,-0.5572325,-0.38915718
-0.8255786,-0.69010866,-0.7060009,-0.8077662,-0.6594536,-0.5572325,-0.38915718,-0.6007793
-0.69010866,-0.7060009,-0.8077662,-0.6594536,-0.5572325,-0.38915718,-0.6007793,-0.36327446
-0.7060009,-0.8077662,-0.6594536,-0.5572325,-0.38915718,-0.6007793,-0.36327446,-0.84312755
-0.8077662,-0.6594536,-0.5572325,-0.38915718,-0.6007793,-0.36327446,-0.84312755,-0.63085866
-0.6594536,-0.5572325,-0.38915718,-0.6007793,-0.36327446,-0.84312755,-0.63085866,-0.50039804
-0.5572325,-0.38915718,-0.6007793,-0.36327446,-0.84312755,-0.63085866,-0.50039804,-0.48714167
-0.38915718,-0.6007793,-0.36327446,-0.84312755,-0.63085866,-0.50039804,-0.48714167,-0.67019576
