,var1(t-7),var1(t-6),var1(t-5),var1(t-4),var1(t-3),var1(t-2),var1(t-1),var1(t)
7,-0.9942001,-0.82139206,-0.7174418,-0.5832341,-0.6763412,-0.5171026,-0.8379845,-0.48426807
8,-0.82139206,-0.7174418,-0.5832341,-0.6763412,-0.5171026,-0.8379845,-0.48426807,-0.582114
9,-0.7174418,-0.5832341,-0.6763412,-0.5171026,-0.8379845,-0.48426807,-0.582114,-0.58175826
10,-0.5832341,-0.6763412,-0.5171026,-0.8379845,-0.48426807,-0.582114,-0.58175826,-0.3873918
11,-0.6763412,-0.5171026,-0.8379845,-0.48426807,-0.582114,-0.58175826,-0.3873918,-0.8414077
