,var1(t-7),var1(t-6),var1(t-5),var1(t-4),var1(t-3),var1(t-2),var1(t-1),var1(t)
count,1218.0,1218.0,1218.0,1218.0,1218.0,1218.0,1218.0,1218.0
mean,-0.5709514021873474,-0.5704287886619568,-0.5699245929718018,-0.5700505375862122,-0.5700226426124573,-0.5698084235191345,-0.5696962475776672,-0.5696007013320923
std,0.26035138964653015,0.2601398825645447,0.26024821400642395,0.26035675406455994,0.26035699248313904,0.2603769302368164,0.26042911410331726,0.26035189628601074
min,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
25%,-0.7368008494377136,-0.7365423291921616,-0.7360163480043411,-0.7365423291921616,-0.7365423291921616,-0.7365423291921616,-0.7365423291921616,-0.7360163480043411
50%,-0.602277547121048,-0.6016806662082672,-0.6012399792671204,-0.6012399792671204,-0.6012399792671204,-0.6011346280574799,-0.6011346280574799,-0.6011346280574799
75%,-0.43822890520095825,-0.4376087784767151,-0.4371465891599655,-0.4371465891599655,-0.4371465891599655,-0.43688130378723145,-0.43680816888809204,-0.43680816888809204
max,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
